"day","month","year","t_max","t_min","prec","sol_rad"
1,2,1996,35.78103719,26.78103719,0,21.55300869
2,2,1996,36.37117103,24.57117103,0,20.25729298
3,2,1996,34.57795021,24.37795021,0,21.29086226
4,2,1996,33.26508071,24.26508071,0,18.00507137
5,2,1996,32.29157564,24.19157564,0,18.84963982
6,2,1996,33.47213281,24.37213281,0,18.01010667
7,2,1996,35.66369254,26.06369254,1.5,19.29777346
8,2,1996,35.5031168,25.7031168,0,21.43695125
9,2,1996,34.36982557,25.56982557,0,20.94201835
10,2,1996,31.87534904,23.07534904,12,17.89508726
11,2,1996,30.15423297,19.95423297,9.8,15.80005876
12,2,1996,32.86001088,18.46001088,0,19.09419823
13,2,1996,34.49147883,23.49147883,0,19.09722082
14,2,1996,33.56207387,24.36207387,11,17.09498755
15,2,1996,32.4376823,24.2376823,0,18.75097806
16,2,1996,35.46331335,22.56331335,13.4,18.93515702
17,2,1996,36.25891303,25.75891303,0,20.53575826
18,2,1996,34.2382469,24.4382469,0,17.5407113
19,2,1996,34.72518636,23.92518636,0,18.23620504
20,2,1996,33.14452434,24.04452434,0,18.90912067
21,2,1996,33.95936657,22.95936657,0,16.41949001
22,2,1996,34.32916264,24.82916264,0,18.41320413
23,2,1996,35.68105413,24.68105413,0,20.66765618
24,2,1996,36.09412336,26.29412336,0,18.51656873
25,2,1996,33.18361981,24.38361981,7.1,21.09112219
26,2,1996,33.44619205,23.34619205,0,19.66459618
27,2,1996,33.73827879,25.13827879,0,19.08359662
28,2,1996,35.62631069,25.02631069,0,22.55598526
29,2,1996,30.40173527,21.40173527,0,14.34137365
1,3,2002,34.6,25,0,19.80707219
2,3,2002,35,24,0,23.40931958
3,3,2002,34.2,25,0,20.16741403
4,3,2002,34.6,23,0,25.17817956
5,3,2002,36.31338813,25.71338813,0,22.86560935
6,3,2002,34,25.98468034,0,25.07568684
7,3,2002,35,23.5,0,24.4756279
8,3,2002,35,24.20073333,0,22.1531158
9,3,2002,36.4,24.6912849,0,23.89518185
10,3,2002,36.6,27,0,23.75918851
11,3,2002,33,25.5,24.2,13.27825274
12,3,2002,33,22.5,0.3,12.66287803
13,3,2002,33.4,24,0.2,23.34310577
14,3,2002,33.4,24,0,17.39344848
15,3,2002,27.8,23.5,38.3,9.395572498
16,3,2002,32.6,23,0,18.98718884
17,3,2002,33.6,23,0,16.16866573
18,3,2002,31.8,24,0,18.06393431
19,3,2002,32.6,24,0,13.98367176
20,3,2002,33.2,23.5,42.4,21.85438646
21,3,2002,30.6,22.5,28.5,11.63655616
22,3,2002,28.4,22,6.4,9.910988134
23,3,2002,32.6,23,0.4,16.3654543
24,3,2002,32.6,24,0,21.24593692
25,3,2002,32.8,23,0,22.1921579
26,3,2002,32.2,24,0,18.41840134
27,3,2002,33.4,23.5,0,21.24972982
28,3,2002,33.8,24,27.2,18.26153283
29,3,2002,31.8,22.5,120.8,13.23058707
30,3,2002,29.4,22.5,1,10.71607664
31,3,2002,33.4,23,0,18.09802836
1,4,2014,28.23434742,20.83434742,9,11.58937077
2,4,2014,32.51976499,22.51976499,0,20.87012684
3,4,2014,29.85055807,23.65055807,0,13.62069937
4,4,2014,33.73079202,24.73079202,1.5,18.19014323
5,4,2014,31.90803274,21.90803274,0,21.12620349
6,4,2014,31.40196378,21.60196378,0,20.01022645
7,4,2014,34.36709703,22.76709703,3.5,18.99192094
8,4,2014,35.47596159,24.07596159,1.7,20.41920927
9,4,2014,30.20314784,21.80314784,0,16.28110645
10,4,2014,32.08512583,20.68512583,0,21.49202557
