"day","month","year","t_max","t_min","prec","sol_rad"
1,3,1998,36.2,24.5,0,23.53600569
2,3,1998,37,23.5,0,22.47609126
3,3,1998,35.2,24.13538405,0.2,15.34079346
4,3,1998,35.13677187,23.5,1.9,13.64526459
5,3,1998,35.2,25.28886122,8.3,15.84578133
6,3,1998,34,23.69234842,0,13.36554653
7,3,1998,32.4,22.5,3.2,11.50545637
8,3,1998,32.2,20.5,0,12.30043227
9,3,1998,35,24.5,1.4,19.19990902
10,3,1998,34.8,22.5,0,18.12090894
11,3,1998,34.8,23.5,0,18.13660474
12,3,1998,34.6,24.5,0,23.32632879
13,3,1998,34.8,20.5,0,22.08788947
14,3,1998,34.2,22.8,0,15.98062217
15,3,1998,33.8,23.5,0,18.66160275
16,3,1998,34.8,22.5,0,16.47336569
17,3,1998,35,24.5,0,14.59698172
18,3,1998,35.6,23.5,0,19.47886636
19,3,1998,35.4,20.5,0.6,9.895101054
20,3,1998,35.4,24.5,1.1,15.72036842
21,3,1998,35.6,22,7,9.434299674
22,3,1998,35.6,24,0.3,18.40612082
23,3,1998,35.4,25,6.5,12.43239867
24,3,1998,34.4,24,0,15.73977526
25,3,1998,33.8,25,0,12.7537181
26,3,1998,34.2,24.5,0,19.99127665
27,3,1998,33.6,24.4,0,13.8585311
28,3,1998,33.4,23.5,0,13.70205342
29,3,1998,34.2,24,0.8,14.17366246
30,3,1998,30.6,24.5,35.1,11.81596585
31,3,1998,29.6,23.5,2.5,11.18708481
1,4,1997,33.70309604,25.60309604,6.1,11.50014102
2,4,1997,31.23496541,24.63496541,0,15.26464173
3,4,1997,34.53733976,20.73733976,0,21.06348715
4,4,1997,36.59787516,24.99787516,0,14.6284418
5,4,1997,34.86276243,26.76276243,72.5,18.69604292
6,4,1997,33.5700832,23.3700832,4,9.607668732
7,4,1997,31.4610185,22.4610185,4,11.01247237
8,4,1997,34.90878018,25.30878018,0,17.10406007
9,4,1997,34.23676552,25.83676552,4,14.12647467
10,4,1997,31.46319848,23.86319848,0,14.4303165
11,4,1997,32.86391389,25.26391389,0,17.69534981
12,4,1997,31.76693231,24.46693231,0,9.582607105
13,4,1997,32.37727532,23.57727532,0,10.19943388
14,4,1997,27.8898338,24.2898338,0,18.27657579
15,4,1997,33.93825611,23.83825611,0,12.98100841
16,4,1997,31.04795972,22.64795972,0,24.29462254
17,4,1997,31.40452189,23.10452189,9,23.03131272
18,4,1997,33.44275919,22.84275919,0,14.96014049
19,4,1997,30.76919698,24.36919698,49.5,12.31791549
20,4,1997,34.04747094,24.84747094,3.5,13.07837499
21,4,1997,33.74515214,25.24515214,0,13.52810757
22,4,1997,35.34362915,24.94362915,20,9.356091439
23,4,1997,30.68409961,22.68409961,2.8,15.80707251
24,4,1997,30.8877547,22.3877547,0,15.78939366
25,4,1997,30.51805696,23.91805696,0,16.07810418
26,4,1997,28.4637183,22.8637183,0,11.00436437
27,4,1997,31.30721099,21.70721099,66.5,15.73411108
28,4,1997,28.8638982,22.6638982,4,19.99189977
29,4,1997,27.89026823,20.89026823,0,18.89867721
30,4,1997,25.35570035,22.25570035,66.5,15.37138043
1,5,2010,33,22.90724123,0,25.38920174
2,5,2010,31.4,24.8,3.7,19.28050082
3,5,2010,30,23.4,0.5,10.91528047
4,5,2010,32.6,22.6,0,17.41206249
5,5,2010,32.8,24.8,1.4,20.71447856
6,5,2010,31.6,24,0,19.17658575
7,5,2010,33.6,25.2,4.5,19.90385923
8,5,2010,32.8,23,52.1,20.02685559
9,5,2010,31.6,22.2,9.6,19.54836602
10,5,2010,30.8,23.8,48.9,12.32026391
11,5,2010,28.6,21.8,40.9,9.158562778
12,5,2010,28,20.8,0,10.34386808
13,5,2010,27.8,21.6,0,12.72030221
14,5,2010,30.8,22.8,10.2,20.75600418
15,5,2010,30.6,22.8,16.5,11.0494591
16,5,2010,32.4,23.8,0,23.52401913
17,5,2010,27,24.6,26.8,9.091830259
18,5,2010,32,22.2,15.2,23.1635584
19,5,2010,32,24.2,1.6,19.13586987
20,5,2010,32,23.8,11.8,15.11993961
21,5,2010,31.6,22.8,0,20.11959723
22,5,2010,29.4,24,58.1,10.66012115
23,5,2010,31.6,23.2,0,19.92157451
24,5,2010,32.4,25,0,20.33806839
25,5,2010,27.6,23.6,4.2,9.449067519
26,5,2010,31.8,22.6,31.2,18.52982453
27,5,2010,29.6,22.2,0,14.55447092
28,5,2010,29.6,24,6.5,11.75941455
29,5,2010,31,22,1.5,19.34398883
30,5,2010,32.2,22.6,43.7,15.52925244
31,5,2010,27.8,22.6,1.6,9.391449326
1,6,1997,30.82166223,20.02166223,0,12.73164443
