"day","month","year","t_max","t_min","prec","sol_rad"
1,2,1996,35.78103719,26.78103719,0,21.55300869
2,2,1996,36.37117103,24.57117103,0,20.25729298
3,2,1996,34.57795021,24.37795021,0,21.29086226
4,2,1996,33.26508071,24.26508071,0,18.00507137
5,2,1996,32.29157564,24.19157564,0,18.84963982
6,2,1996,33.47213281,24.37213281,0,18.01010667
7,2,1996,35.66369254,26.06369254,1.5,19.29777346
8,2,1996,35.5031168,25.7031168,0,21.43695125
9,2,1996,34.36982557,25.56982557,0,20.94201835
10,2,1996,31.87534904,23.07534904,12,17.89508726
11,2,1996,30.15423297,19.95423297,9.8,15.80005876
12,2,1996,32.86001088,18.46001088,0,19.09419823
13,2,1996,34.49147883,23.49147883,0,19.09722082
14,2,1996,33.56207387,24.36207387,11,17.09498755
15,2,1996,32.4376823,24.2376823,0,18.75097806
16,2,1996,35.46331335,22.56331335,13.4,18.93515702
17,2,1996,36.25891303,25.75891303,0,20.53575826
18,2,1996,34.2382469,24.4382469,0,17.5407113
19,2,1996,34.72518636,23.92518636,0,18.23620504
20,2,1996,33.14452434,24.04452434,0,18.90912067
21,2,1996,33.95936657,22.95936657,0,16.41949001
22,2,1996,34.32916264,24.82916264,0,18.41320413
23,2,1996,35.68105413,24.68105413,0,20.66765618
24,2,1996,36.09412336,26.29412336,0,18.51656873
25,2,1996,33.18361981,24.38361981,7.1,21.09112219
26,2,1996,33.44619205,23.34619205,0,19.66459618
27,2,1996,33.73827879,25.13827879,0,19.08359662
28,2,1996,35.62631069,25.02631069,0,22.55598526
29,2,1996,30.40173527,21.40173527,0,14.34137365
1,3,2013,35,22,0,18.5666324
2,3,2013,36.4,22.4,0,18.13743519
3,3,2013,36.6,23.8,0,16.52338832
4,3,2013,32.8,24.2,19.4,19.68452473
5,3,2013,35.2,21.6,2.1,14.35637025
6,3,2013,35.4,22.4,0,17.23794921
7,3,2013,34.8,23.4,0,17.4200879
8,3,2013,35,24.6,0,20.33613316
9,3,2013,33.2,26,0,19.37716847
10,3,2013,35.8,23.4,0,18.99289804
11,3,2013,35,23.6,2.5,19.87885152
12,3,2013,32.4,22.6,42.2,17.94650672
13,3,2013,32.8,21.2,0,17.71748735
14,3,2013,34.4,22.6,1.1,17.26420669
15,3,2013,33.4,24,0,19.99713075
16,3,2013,34.8,23.8,12.7,16.32460487
17,3,2013,32.1325111,24.2,23.4,15.50286026
18,3,2013,35.15414455,23.35414455,0,20.04199431
19,3,2013,33.8,21.8,0,16.43276513
20,3,2013,34.6,24.2,0,16.53904992
21,3,2013,34.8,25.8,0,18.63085015
22,3,2013,34.2,25.2,0,18.39408769
23,3,2013,31,21.6,8.5,19.22653313
24,3,2013,33.2,20.2,10.2,15.56939218
25,3,2013,33.6,22.4,0,19.28860679
26,3,2013,34.8,24.8,0,19.88718121
27,3,2013,36.2,25.8,0,21.26283646
28,3,2013,32.6,25,0,17.5121886
29,3,2013,26.8,21,13.4,20.16465991
30,3,2013,31.8,20.8,0.3,20.23765025
31,3,2013,34,22.2,0,20.78587084
1,4,2010,31.8,23,0,14.16912276
2,4,2010,33,23.8,8.1,20.44310761
3,4,2010,32.6,23.4,0,11.80993586
4,4,2010,33,25.8,0,12.27720721
5,4,2010,29.2,24,7,10.70685754
6,4,2010,31,21.8,13.2,14.46056829
7,4,2010,29.4,23.2,19.1,9.917445054
8,4,2010,30,23.4,91.7,14.29042927
9,4,2010,26,22.4,0.9,9.440884188
10,4,2010,31,23,42.7,10.84109244
11,4,2010,29.2,22,0,10.21149672
